filename,date,type,note
20190429164452, 190429, laser, 50mK 60V 100Hz 500ns 150sec 11mA
20190429164746, 190429, noise_trans, 50mK 60V 10sec
20190429221528, 190429, dm, 50mK 0V
20190430164546, 190430, noise_sc, 50mK 100V
20190430164908, 190430, noise_trans, 50mK 100V
20190430224446, 190430, noise_sc, 50mK 100V
20190430231325, 190430, noise_trans, 50mK 100V
20190430231413, 190430, noise_trans, 50mK 100V
20190430233440, 190430, noise_trans, 50mK 100V
20190430233837, 190430, laser, 50mK 100V 100Hz 500ns 300sec 11mA
20190430234347, 190430, laser, 50mK 100V 100Hz 200ns 300sec 11mA
20190430235331, 190430, dm, 50mK 100V laser_500mHz
20190501160843, 190501, noise_sc, 50mK 100V arduino_float
20190501174951, 190501, laser, 50mK 100V 100Hz 200ns 300sec 11mA
20190501175544, 190501, noise_trans, 50mK 100V 10sec arduino_float
20190501180859, 190501, noise_trans, 50mK 100V 10sec arduino_terminated
20190501182540, 190501, laser, 50mK 100V 100Hz 200ns 300sec 11mA
20190501183344, 190501, dm, 50mK 100V laser_606mHz
20190502162100, 190502, noise_sc, 50mK 100V arduino_terminated
20190502162009, 190502, noise_trans, 50mK 100V 10sec arduino_terminated
20190502162841, 190502, noise_trans, 50mK 100V 10sec arduino_terminated
20190502163153, 190502, laser, 50mK 100V 100Hz 500ns 300sec 11mA
20190502170014, 190502, laser, 50mK 100V 100Hz 200ns 300sec 11mA
20190502174207, 190502, noise_trans, 50mK 100V 10sec arduino_terminated fiber_capped
20190502184133, 190502, noise_trans, 50mK 100V 10sec arduino_terminated fiber_capped
20190502194059, 190502, noise_trans, 50mK 100V 10sec arduino_terminated fiber_capped
20190502204025, 190502, noise_trans, 50mK 100V 10sec arduino_terminated fiber_capped
20190502213951, 190502, noise_trans, 50mK 100V 10sec arduino_terminated fiber_capped
20190502224614, 190502, dm, 50mK 100V fiber_burrito
20190503144726, 190503, noise_sc, 50mK 100V arduino_terminated
20190503153556, 190503, noise_trans, 50mK 100V 10sec arduino_terminated fiber_capped
20190503155526, 190503, laser, 50mK 100V 100Hz 200ns 300sec 11mA
20190503163325, 190503, noise_trans, 50mK 100V 10sec arduino_terminated fiber_burrito 
20190503172231, 190503, noise_trans, 50mK 100V 10sec arduino_float fiber_burrito
20190503172525, 190503, noise_trans, 50mK 100V 10sec arduino_terminated fiber_burrito
20190503172840, 190503, dm, 50mK 100V fiber_burrito
20190504152611, 190504, noise_sc, 50mK 120V arduino_terminated
20190504155158, 190504, noise_trans, 50mK 100V 10sec arduino_terminated fiber_burrito
20190504160847, 190504, laser, 50mK 100V 100Hz 200ns 1800sec 11mA
20190504171104, 190504, dm, 50mK 100V fiber_burrito
20190504205731, 190504, dm, 50mK 100V fiber_burrito reapplied_black_tape
20190504231511, 190504, dm, 50mK 100V fiber_burrito removed_arduino_db9 added_1500nF_bias_line
20190505145733, 190505, noise_sc, 50mK 120V arduino_terminated
20190505154359, 190505, noise_trans, 50mK 100V 10sec arduino_terminated fiber_burrito 
20190505160422, 190505, laser, 50mK 100V 100Hz 200ns 600sec 11mA
20190505162437, 190505, laser, 50mK 100V 100Hz 500ns 600sec 11mA
20190505165031, 190505, dm, 50mK 100V fiber_burrito
20190506175246, 190506, noise_sc, 50mK 100V arduino_terminated
20190506185255, 190506, noise_trans, 50mK 100V 10sec arduino_terminated fiber_burrito 
20190506191219, 190506, laser, 50mK 100V 100Hz 200ns 600sec 11mA
20190506194854, 190506, dm, 50mK 100V fiber_burrito
20190507143601, 190507, noise_sc, 50mK 220V arduino_terminated
20190507174745, 190507, noise_trans, 50mK 60V 10sec arduino_terminated fiber_burrito prebias_220V noisy_RF
20190507180154, 190507, laser, 50mK 60V 100Hz 200ns 600sec 11mA
20190507182611, 190507, dm, 50mK 60V fiber_burrito
20190508154130, 190508, noise_sc, 52mK 140V arduino_terminated
20190508163303, 190508, noise_trans, 52mK 100V 10sec arduino_terminated fiber_burrito noisy_RF
20190508164614, 190508, laser, 52mK 100V 100Hz 200ns 600sec 11mA
20190508172741, 190508, noise_trans, 52mK 0V 10sec arduino_terminated fiber_burrito noisy_RF
20190508174244, 190508, Co57, 52mK 0V fiber_burrito
20190509152842, 190509, noise_sc, 52mK 150V arduino_terminated
