,"SC-superconducting, NM-normal, TS-transitional",,,,,,,Beam Parameters,,,Laser Parameters,,,Channel assignments,,,,,,,
Series Number,Type,Voltage (V),#Traces (neutron assumed 3600),Seconds of DAQ,Rad source?,Fridge Temp (mK),PMT Series,Beam Current (nA),Beam B Field (mT),Terminal Voltage (MV),Laser Pulse Freq (MHz),Laser Burst Freq (Hz),Laser Power,CH2&3,CH1,CH4,CHD0 ,CHD1,CHD2,"Bias (percentage, CH2, CH3)",Comment
20190627081551,SC noise,0,10,10,No,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,,
20190627085122,IV curve,100,,0,No,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,,
20190627085310,IV curve,100,,0,No,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,,
20190627090828,TS noise,200,10,10,No,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,"25%, 1105, 1110",
20190627094659,Laser,200,600,600,No,52,,,,,1,101,80,TES,N/C,N/C,Laser Trig,N/C,N/C,"25%, 1105, 1110",
20190627095837,Laser,200,600,600,No,52,,,,,1,101,40,TES,N/C,N/C,Laser Trig,N/C,N/C,"25%, 1105, 1110",
20190627100844,Laser,200,600,600,No,52,,,,,1,101,20,TES,N/C,N/C,Laser Trig,N/C,N/C,"25%, 1105, 1110",
20190627102054,Laser,200,1000,1000,No,52,,,,,1,101,15,TES,N/C,N/C,Laser Trig,N/C,N/C,"25%, 1105, 1110",
20190627103756,Laser,200,1500,1500,No,52,,,,,1,101,10,TES,N/C,N/C,Laser Trig,N/C,N/C,"25%, 1105, 1110",
20190627110306,Laser,200,3600,3600,No,52,,,,,1,101,7,TES,N/C,N/C,Laser Trig,N/C,N/C,"25%, 1105, 1110",
20190627120457,Laser,200,3600,3600,No,52,,,,,1,101,4,TES,N/C,N/C,Laser Trig,N/C,N/C,"25%, 1105, 1110",7200s data overall. (3600+3600)
20190627130422,Laser,200,3600,3600,No,52,,,,,1,101,4,TES,N/C,N/C,Laser Trig,N/C,N/C,"25%, 1105, 1110",
20190627141637,Laser,200,1200,1200,No,52,,,,,1,101,10,TES,N/C,N/C,Laser Trig,N/C,N/C,"25%, 1105, 1110",
20190627144729,Laser,200,3600,3600,No,52,,,,,1,101,2,TES,N/C,N/C,Laser Trig,N/C,N/C,"25%, 1105, 1110",
20190627154654,Laser,200,222,224,No,52,,,,,1,101,2,TES,N/C,N/C,Laser Trig,N/C,N/C,"25%, 1105, 1110",
